Group,Group_Name,Breed_Name
1,"쉽독, 캐틀독",오스트레일리언 캐틀 독
1,"쉽독, 캐틀독",오스트레일리언 셰퍼드
1,"쉽독, 캐틀독",비어디드 콜리
1,"쉽독, 캐틀독",보더 콜리
1,"쉽독, 캐틀독",부비에 데 플랑드르
1,"쉽독, 캐틀독",벨지안 셰퍼드 독
1,"쉽독, 캐틀독",러프 콜리
1,"쉽독, 캐틀독",스무스 콜리
1,"쉽독, 캐틀독",코몬도르
1,"쉽독, 캐틀독",올드 잉글리쉬 쉽독
1,"쉽독, 캐틀독",풀리
1,"쉽독, 캐틀독",저먼 셰퍼드 독
1,"쉽독, 캐틀독",셰틀랜드 쉽독
1,"쉽독, 캐틀독",웰시 코기 카디건
1,"쉽독, 캐틀독",웰시 코기 펨브로크
1,"쉽독, 캐틀독",체코슬로바키안 울프독
2,몰로서스독 타입,아펜핀셔
2,몰로서스독 타입,불독
2,몰로서스독 타입,불마스티프
2,몰로서스독 타입,버니즈 마운틴 독
2,몰로서스독 타입,복서
2,몰로서스독 타입,도고 아르헨티노
2,몰로서스독 타입,도베르만
2,몰로서스독 타입,프레사 까나리오(구: 도고 까나리오)
2,몰로서스독 타입,그레이트 덴
2,몰로서스독 타입,피레니언 마운틴 독
2,몰로서스독 타입,자이언트 슈나우저
2,몰로서스독 타입,레온베르거
2,몰로서스독 타입,마스티프
2,몰로서스독 타입,미니어쳐 핀셔
2,몰로서스독 타입,미니어쳐 슈나우저
2,몰로서스독 타입,뉴펀들랜드
2,몰로서스독 타입,네오폴리탄 마스티프
2,몰로서스독 타입,로트바일러
2,몰로서스독 타입,세인트 버나드
2,몰로서스독 타입,슈나우저
2,몰로서스독 타입,도사
2,몰로서스독 타입,티베탄 마스티프
2,몰로서스독 타입,케인 코르소 이탈리아노
2,몰로서스독 타입,샤페이
2,몰로서스독 타입,센트럴 아시아 셰퍼드독
2,몰로서스독 타입,코카시안 셰퍼드독
2,몰로서스독 타입,필라 브라질레이로
3,테리어,아메리칸 스태포드셔 테리어
3,테리어,에어데일 테리어
3,테리어,베들링턴 테리어
3,테리어,불 테리어
3,테리어,케언 테리어
3,테리어,댄디 딘몬트 테리어
3,테리어,저먼 헌팅 테리어
3,테리어,아이리쉬소프트 코티드 휘튼 테리어
3,테리어,잭 러셀 테리어
3,테리어,케리 블루 테리어
3,테리어,레이크랜드 테리어
3,테리어,미니어쳐 불 테리어
3,테리어,맨체스터 테리어
3,테리어,노퍽 테리어
3,테리어,노리치 테리어
3,테리어,파슨 러셀 테리어
3,테리어,스무스 폭스 테리어
3,테리어,실리햄 테리어
3,테리어,스카이 테리어
3,테리어,스코티쉬 테리어
3,테리어,와이어 폭스 테리어
3,테리어,웰시 테리어
3,테리어,웨스트 하일랜드 화이트 테리어
3,테리어,요크셔 테리어
4,닥스훈트,닥스훈트
5,"스피츠, 프리미티브 타입",호카이도
5,"스피츠, 프리미티브 타입",알라스칸 말라뮤트
5,"스피츠, 프리미티브 타입",바센지
5,"스피츠, 프리미티브 타입",차우차우
5,"스피츠, 프리미티브 타입",아메리칸 아키타
5,"스피츠, 프리미티브 타입",시베리안 허스키
5,"스피츠, 프리미티브 타입",코리아 진도 독 (진돗개)
5,"스피츠, 프리미티브 타입",아키타
5,"스피츠, 프리미티브 타입",키슈
5,"스피츠, 프리미티브 타입",시바
5,"스피츠, 프리미티브 타입",시코쿠
5,"스피츠, 프리미티브 타입",저먼 스피츠 (키스혼드)
5,"스피츠, 프리미티브 타입",노르위전 엘크하운드 (블랙)
5,"스피츠, 프리미티브 타입",노르위전 엘크하운드 (그레이)
5,"스피츠, 프리미티브 타입","저먼 스피츠(토이 스피츠, 포메라니언)"
5,"스피츠, 프리미티브 타입",파라오 하운드
5,"스피츠, 프리미티브 타입",사모예드
5,"스피츠, 프리미티브 타입",재패니즈 스피츠
5,"스피츠, 프리미티브 타입",타이 리지백 독
5,"스피츠, 프리미티브 타입",이스트 시베리안 라이카
5,"스피츠, 프리미티브 타입",웨스트 시베리안 라이카
5,"스피츠, 프리미티브 타입",타이완 독
5,"스피츠, 프리미티브 타입",저먼 스피츠 (미디엄 스피츠)
5,"스피츠, 프리미티브 타입",저먼 스피츠 (미니어처 스피츠)
5,"스피츠, 프리미티브 타입",저먼 스피츠 (자이언트 스피츠)
6,센트하운드,비글
6,센트하운드,바셋 하운드
6,센트하운드,블랙 앤 탄 쿤 하운드
6,센트하운드,달마시안
6,센트하운드,쁘띠 바셋 그리폰 벤딘
6,센트하운드,로디지안 리즈백
6,센트하운드,블러드하운드
6,센트하운드,해리어
7,포인터,브리타니 스파니엘
7,포인터,잉글리쉬 포인터
7,포인터,잉글리쉬 세터
7,포인터,저먼 숏 헤어드 포인팅 독
7,포인터,저먼 와이어 헤어드 포인팅 독
7,포인터,아이리쉬 레드 앤 화이트 세터
7,포인터,라지 먼스터랜더
7,포인터,비즐라
7,포인터,바이마라너
7,포인터,아이리쉬 레드 세터
8,"리트리버, 플러싱독, 워터독",아메리칸 코커 스파니엘
8,"리트리버, 플러싱독, 워터독",잉글리쉬 코커 스파니엘
8,"리트리버, 플러싱독, 워터독",플랫 코티드 리트리버
8,"리트리버, 플러싱독, 워터독",아이리쉬 워터 스파니엘
8,"리트리버, 플러싱독, 워터독",래브라도 리트리버
8,"리트리버, 플러싱독, 워터독",노바 스코샤 덕 톨링 리트리버
8,"리트리버, 플러싱독, 워터독",포르투기즈 워터 독
8,"리트리버, 플러싱독, 워터독",골든 리트리버
8,"리트리버, 플러싱독, 워터독",잉글리쉬 스프링거 스파니엘
9,"컴패니언, 토이독",비숑 프리제
9,"컴패니언, 토이독",브뤼셀 그리폰
9,"컴패니언, 토이독",보스턴 테리어
9,"컴패니언, 토이독",차이니즈 크레스티드 독
9,"컴패니언, 토이독",치와와
9,"컴패니언, 토이독",프렌치 불독
9,"컴패니언, 토이독",캐벌리어 킹 찰스 스파니엘
9,"컴패니언, 토이독",킹 찰스 스파니엘
9,"컴패니언, 토이독",라사 압소
9,"컴패니언, 토이독",말티즈
9,"컴패니언, 토이독",퍼그
9,"컴패니언, 토이독",페키니즈
9,"컴패니언, 토이독",빠삐용
9,"컴패니언, 토이독",시츄
9,"컴패니언, 토이독",꼬똥 드 툴레아
9,"컴패니언, 토이독",티베탄 테리어
9,"컴패니언, 토이독",리틀 라이언 독
9,"컴패니언, 토이독",토이 푸들
9,"컴패니언, 토이독",미디엄 푸들
9,"컴패니언, 토이독",미니어쳐 푸들
9,"컴패니언, 토이독",스탠다드 푸들
9,"컴패니언, 토이독",제패니즈 친
10,사이트하운드,아프간 하운드
10,사이트하운드,보르조이
10,사이트하운드,디어하운드
10,사이트하운드,그레이하운드
